"Financial Year","Return Type","Name","Received From","Date","Value"
"2020-21","Political Party Return","Animal Justice Party","Australian Taxation Office","28/08/2020","37036"
"2020-21","Political Party Return","Animal Justice Party","Australian Taxation Office","14/12/2020","19420"
"2020-21","Political Campaigner Return","Australian Automobile Association","The Department of Infrastructure & Regional Development ","15/09/2020","4400000"
"2020-21","Political Campaigner Return","Australian Chamber of Commerce and Industry","Commonwealth - Represented by FWO","30/06/2021","412500"
"2020-21","Political Campaigner Return","Australian Chamber of Commerce and Industry","WA Government - Covid Support","30/06/2021","17500"
"2020-21","Political Campaigner Return","Australian Chamber of Commerce and Industry","ATO - Cash Flow Boost","30/06/2021","50000"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Fair Work Ombudsman","11/02/2021","412500"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Comcare","28/10/2020","1625"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Comcare","11/11/2020","1625"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Comcare","25/11/2020","1625"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Comcare","09/12/2020","1625"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Comcare","23/12/2020","1625"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Comcare","06/01/2021","1625"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Comcare","20/01/2021","1625"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Comcare","03/02/2021","1625"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Comcare","17/02/2021","1625"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Comcare","03/03/2021","1625"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Comcare","17/03/2021","1625"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Comcare","08/07/2020","1625"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Comcare","22/07/2020","1625"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Comcare","05/08/2020","1625"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Comcare","19/08/2020","1625"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Comcare","02/09/2020","1625"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Comcare","16/09/2020","1625"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Comcare","30/09/2020","1625"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Comcare","14/10/2020","1625"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Comcare","31/03/2021","1625"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Comcare","14/04/2021","1625"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Comcare","28/04/2021","1625"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Comcare","12/05/2021","1625"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Comcare","26/05/2021","1625"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Comcare","09/06/2021","1625"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Comcare","23/06/2021","1625"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Payment: Asbestos Safety & Eradication Agency -ASEA","18/06/2021","2672"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Payment: Asbestos Safety & Eradication Agency -ASEA","18/06/2021","2137"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Centrelink","18/05/2021","9046"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Centrelink","01/06/2021","1507"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Centrelink","15/06/2021","1507"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Centrelink","29/06/2021","1507"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","WorkSafe Victoria","14/08/2020","47190"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","WorkSafe Victoria","16/11/2020","47190"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","WorkSafe Victoria","16/02/2021","47190"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","WorkSafe Victoria","18/05/2021","47190"
"2020-21","Political Campaigner Return","Australian Education Union ","AUSTRALIAN TAXATION OFFICE – COVID CASH BOOST","02/07/2020","12500"
"2020-21","Political Campaigner Return","Australian Education Union ","AUSTRALIAN TAXATION OFFICE – COVID CASH BOOST","15/07/2020","12500"
"2020-21","Political Campaigner Return","Australian Education Union ","AUSTRALIAN TAXATION OFFICE – COVID CASH BOOST","30/07/2020","12500"
"2020-21","Political Campaigner Return","Australian Education Union ","AUSTRALIAN TAXATION OFFICE – COVID CASH BOOST","05/08/2020","12500"
"2020-21","Political Campaigner Return","Australian Education Union ","AUSTRALIAN TAXATION OFFICE – COVID CASH BOOST","19/08/2020","12500"
"2020-21","Political Campaigner Return","Australian Education Union ","AUSTRALIAN TAXATION OFFICE – COVID CASH BOOST","01/09/2020","12500"
"2020-21","Political Campaigner Return","Australian Education Union ","AUSTRALIAN TAXATION OFFICE – COVID CASH BOOST","04/09/2020","12500"
"2020-21","Political Campaigner Return","Australian Education Union ","AUSTRALIAN TAXATION OFFICE – COVID CASH BOOST","10/09/2020","12500"
"2020-21","Political Campaigner Return","Australian Education Union ","AUSTRALIAN TAXATION OFFICE – COVID CASH BOOST","16/09/2020","12500"
"2020-21","Political Campaigner Return","Australian Education Union ","AUSTRALIAN TAXATION OFFICE – COVID CASH BOOST","21/09/2020","12500"
"2020-21","Political Campaigner Return","Australian Education Union ","AUSTRALIAN TAXATION OFFICE – COVID CASH BOOST","15/10/2020","12500"
